"","type","metric","ret","SE","low","high"
"1","-10","AAR",4.22673076809541e-05,0.00012168616304993,-0.00019623757189691,0.000280772187258818
"2","-10","CAAR",4.22673076809541e-05,0.00012168616304993,-0.00019623757189691,0.000280772187258818
"3","-9","AAR",5.8952411801703e-05,0.000120688806416371,-0.000177597648774383,0.000295502472377789
"4","-9","CAAR",0.00010121648618316,0.000169650292776041,-0.000231298087657881,0.0004337310600242
"5","-8","AAR",0.000108431859480999,0.000119404624418956,-0.000125601204380155,0.000342464923342152
"6","-8","CAAR",0.000209648345664158,0.000205781248806897,-0.00019368290199736,0.000612979593325677
"7","-7","AAR",0.000226149359468828,0.000119586406515068,-8.23999730070542e-06,0.000460538716238361
"8","-7","CAAR",0.000435797705132986,0.000235842795850597,-2.64541747341842e-05,0.000898049585000155
"9","-6","AAR",1.88923880964403e-05,0.000121763561022619,-0.000219764191507894,0.000257548967700774
"10","-6","CAAR",0.000454690093229426,0.000266411941745812,-6.74773125923652e-05,0.000976857499051217
"11","-5","AAR",2.19452315743826e-05,0.000117320295602239,-0.000208002547806007,0.000251893010954772
"12","-5","CAAR",0.000476583157514544,0.000286222429450072,-8.44128042075971e-05,0.00103757911923669
"13","-4","AAR",7.27895965978723e-05,0.000116289110693078,-0.000155137060360562,0.000300716253556306
"14","-4","CAAR",0.000549354528438107,0.00030822621771014,-5.47688582737677e-05,0.00115347791514998
"15","-3","AAR",0.00016516837785918,0.000118289979047181,-6.66799810732944e-05,0.000397016736791654
"16","-3","CAAR",0.000714459887653003,0.000325770147830869,7.59503979044994e-05,0.00135296937740151
"17","-2","AAR",0.000166001726716093,0.000118048247831013,-6.53728390326933e-05,0.000397376292464879
"18","-2","CAAR",0.000880406979522598,0.000342651755055816,0.000208809539613199,0.001552004419432
"19","-1","AAR",0.000207500062688001,0.000124845068488302,-3.71962715490716e-05,0.000452196396925073
"20","-1","CAAR",0.00108787338107584,0.000362000997995114,0.00037835142500542,0.00179739533714627
"21","0","AAR",0.000641861770496509,0.000132673640134197,0.000381821435833482,0.000901902105159536
"22","0","CAAR",0.00172961038591201,0.000383575595933449,0.00097780221788245,0.00248141855394157
"23","+1","AAR",5.93507802117165e-05,0.000126315696168556,-0.000188227984278654,0.000306929544702087
"24","+1","CAAR",0.00178896116612373,0.000401494281936766,0.00100203237352766,0.00257588995871979
"25","+2","AAR",-9.61317290181421e-05,0.000117066011100217,-0.000325581110774568,0.000133317652738284
"26","+2","CAAR",0.00169282943710559,0.000416386761344194,0.000876711384870965,0.0025089474893402
"27","+3","AAR",-0.000119918413947725,0.000115222093463877,-0.000345753717136924,0.000105916889241473
"28","+3","CAAR",0.00157291102315786,0.000429256216285444,0.00073156883923839,0.00241425320707733
"29","+4","AAR",-0.000121382900777988,0.00011700700299311,-0.000350716626644483,0.000107950825088508
"30","+4","CAAR",0.00145152812237987,0.000441707165735649,0.000585782077537999,0.00231727416722174
"31","+5","AAR",5.83916300432452e-05,0.000116214305620441,-0.000169388408972819,0.00028617166905931
"32","+5","CAAR",0.00150936654788617,0.000455057006246917,0.000617454815642212,0.00240127828013013
"33","+6","AAR",-0.000154216522192586,0.000115140503550725,-0.000379891909152007,7.14588647668354e-05
"34","+6","CAAR",0.00135515002569358,0.000466756065183873,0.000440308137933193,0.00226999191345397
"35","+7","AAR",-0.000155928495847238,0.000114413314831375,-0.000380178592916733,6.83216012222561e-05
"36","+7","CAAR",0.00119922152984635,0.000478359916672752,0.000261636093167753,0.00213680696652494
"37","+8","AAR",5.39899784241998e-05,0.000115040478179971,-0.000171489358808544,0.000279469315656943
"38","+8","CAAR",0.00125195774111273,0.000489810763525573,0.00029192864460261,0.00221198683762285
"39","+9","AAR",-0.000116838328970645,0.000114239163669474,-0.000340747089762814,0.000107070431821524
"40","+9","CAAR",0.00113512579842816,0.00050016121834262,0.000154809810476623,0.00211544178637969
"41","+10","AAR",-0.000269423698832106,0.000114927204217794,-0.000494681019098983,-4.41663785652302e-05
"42","+10","CAAR",0.000863749372806783,0.00050804371329691,-0.000132016305255161,0.00185951505086873
