",""type"",""ESG_risk_category"",""metric"",""ret"",""SE"",""low"",""high"""
"61,""-4"",""Medium"",""Relative # events"",0.0023103576561112,NA,NA,NA"
"62,""-4"",""Medium"",""AAR"",-0.000188088231956049,0.000630073296951998,-0.00135372383131725,0.000977547367405148"
"63,""-4"",""Medium"",""CAAR"",-0.00161210275412489,0.00174621057617591,-0.00484259232005033,0.00161838681180055"
"64,""-3"",""High"",""Relative # events"",0.00315838899149856,NA,NA,NA"
"65,""-3"",""High"",""AAR"",-0.000519602969803301,0.00116305925806166,-0.00267126259721737,0.00163205665761077"
"66,""-3"",""High"",""CAAR"",-0.00337356173838915,0.0035776878444304,-0.0099922842505854,0.0032451607738071"
"67,""-3"",""Low"",""Relative # events"",0.00179976523140677,NA,NA,NA"
"68,""-3"",""Low"",""AAR"",-0.00148968143111455,0.00084230108772515,-0.00304793844340607,6.85755811769813e-05"
"69,""-3"",""Low"",""CAAR"",-0.00542289175039152,0.00240060293092834,-0.00986400717260895,-0.000981776328174085"
"70,""-3"",""Medium"",""Relative # events"",0.00227819991252267,NA,NA,NA"
"71,""-3"",""Medium"",""AAR"",-0.000184535594885387,0.000644551042324943,-0.00137695502318653,0.00100788383341576"
"72,""-3"",""Medium"",""CAAR"",-0.00179663834901028,0.00184602033487873,-0.00521177596853594,0.00161849927051538"
"73,""-2"",""High"",""Relative # events"",0.0033814253316558,NA,NA,NA"
"74,""-2"",""High"",""AAR"",-0.00192213591266817,0.00113875885157389,-0.00402883978807986,0.000184567962743528"
"75,""-2"",""High"",""CAAR"",-0.00529569765105732,0.00377782706449197,-0.0122846777203675,0.00169328241825283"
"76,""-2"",""Low"",""Relative # events"",0.00188500649112134,NA,NA,NA"
"77,""-2"",""Low"",""AAR"",-0.000712182776433537,0.000967020352529088,-0.00250117042861235,0.00107680487574528"
"78,""-2"",""Low"",""CAAR"",-0.00613507452682505,0.00264868660853361,-0.0110351447526122,-0.00123500430103788"
"79,""-2"",""Medium"",""Relative # events"",0.00310758175335737,NA,NA,NA"
"80,""-2"",""Medium"",""AAR"",-0.000236016693450302,0.000680789098821916,-0.00149547652627085,0.00102344313937024"
"81,""-2"",""Medium"",""CAAR"",-0.00203265504246058,0.00201183022619808,-0.00575454096092704,0.00168923087600587"
"82,""-1"",""High"",""Relative # events"",0.0048665445026758,NA,NA,NA"
"83,""-1"",""High"",""AAR"",0.00157116202461896,0.00127283237022073,-0.000783577860289386,0.00392590190952731"
"84,""-1"",""High"",""CAAR"",-0.00372453562643835,0.00389860937850656,-0.0109369629766755,0.00348789172379878"
"85,""-1"",""Low"",""Relative # events"",0.00356349174261563,NA,NA,NA"
"86,""-1"",""Low"",""AAR"",-9.71498103680785e-05,0.000935155515785916,-0.00182718751457202,0.00163288789383587"
"87,""-1"",""Low"",""CAAR"",-0.00623222433719313,0.00282932972716721,-0.0114664843324525,-0.000997964341933803"
"88,""-1"",""Medium"",""Relative # events"",0.00463015934434635,NA,NA,NA"
"89,""-1"",""Medium"",""AAR"",-0.00192664683190635,0.000773979011962358,-0.00335850800403671,-0.000494785659775984"
"90,""-1"",""Medium"",""CAAR"",-0.00395930187436693,0.00218607232783063,-0.00800353568085359,8.49319321197303e-05"
"91,""0"",""High"",""Relative # events"",0.01,NA,NA,NA"
"92,""0"",""High"",""AAR"",-0.00194840890557718,0.00121481673507146,-0.00419581986545937,0.000299002054305013"
"93,""0"",""High"",""CAAR"",-0.00567294453201553,0.00407389484918152,-0.0132096500030014,0.00186376093897029"
"94,""0"",""Low"",""Relative # events"",0.01,NA,NA,NA"
